country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,2005,male,25-34 years,0.0,177519,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Generation X
Albania,2005,male,35-54 years,0.0,380242,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Boomers
Albania,2005,male,5-14 years,0.0,291367,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Millenials
Albania,2005,male,55-74 years,0.0,214118,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Silent
Albania,2005,male,75+ years,0.0,38471,0.0,Albania2005,0.695,"8,15,85,48,717",2931.0,Silent
Albania,2010,male,55-74 years,20.0,241852,8.27,Albania2010,0.722,"11,92,69,53,259",4359.0,Silent
Albania,2010,male,35-54 years,20.0,371611,5.38,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation X
Albania,2010,male,25-34 years,9.0,179720,5.01,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation X
Albania,2010,male,75+ years,2.0,50767,3.94,Albania2010,0.722,"11,92,69,53,259",4359.0,Silent
Albania,2010,male,15-24 years,10.0,279508,3.58,Albania2010,0.722,"11,92,69,53,259",4359.0,Millenials
Albania,2010,female,25-34 years,6.0,183579,3.27,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation X
Albania,2010,female,75+ years,2.0,64415,3.1,Albania2010,0.722,"11,92,69,53,259",4359.0,Silent
Albania,2010,female,35-54 years,12.0,394593,3.04,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation X
Albania,2010,female,55-74 years,7.0,241491,2.9,Albania2010,0.722,"11,92,69,53,259",4359.0,Silent
Albania,2010,female,15-24 years,6.0,263581,2.28,Albania2010,0.722,"11,92,69,53,259",4359.0,Millenials
Albania,2010,female,5-14 years,2.0,223969,0.89,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation Z
Albania,2010,male,5-14 years,0.0,240939,0.0,Albania2010,0.722,"11,92,69,53,259",4359.0,Generation Z
Antigua and Barbuda,2012,female,15-24 years,0.0,8435,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Millenials
Antigua and Barbuda,2012,female,25-34 years,0.0,7215,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Millenials
Antigua and Barbuda,2012,female,35-54 years,0.0,15193,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Generation X
Antigua and Barbuda,2012,female,5-14 years,0.0,8401,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Generation Z
Antigua and Barbuda,2012,female,55-74 years,0.0,5512,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Boomers
Antigua and Barbuda,2012,female,75+ years,0.0,1625,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Silent
Antigua and Barbuda,2012,male,15-24 years,0.0,7893,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Millenials
Antigua and Barbuda,2012,male,25-34 years,0.0,6629,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Millenials
Antigua and Barbuda,2012,male,35-54 years,0.0,13280,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Generation X
Antigua and Barbuda,2012,male,5-14 years,0.0,8475,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Generation Z
Antigua and Barbuda,2012,male,55-74 years,0.0,4994,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Boomers
Antigua and Barbuda,2012,male,75+ years,0.0,1051,0.0,Antigua and Barbuda2012,0.781,"1,21,14,11,704",13657.0,Silent
Antigua and Barbuda,2013,female,15-24 years,0.0,8494,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Millenials
Antigua and Barbuda,2013,female,25-34 years,0.0,7397,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Millenials
Antigua and Barbuda,2013,female,35-54 years,0.0,15236,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Generation X
Antigua and Barbuda,2013,female,5-14 years,0.0,8353,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Generation Z
Antigua and Barbuda,2013,female,55-74 years,0.0,5787,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Boomers
Antigua and Barbuda,2013,female,75+ years,0.0,1652,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Silent
Antigua and Barbuda,2013,male,15-24 years,0.0,8061,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Millenials
Antigua and Barbuda,2013,male,25-34 years,0.0,6782,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Millenials
Antigua and Barbuda,2013,male,35-54 years,0.0,13302,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Generation X
Antigua and Barbuda,2013,male,5-14 years,0.0,8405,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Generation Z
Antigua and Barbuda,2013,male,55-74 years,0.0,5238,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Boomers
Antigua and Barbuda,2013,male,75+ years,0.0,1072,0.0,Antigua and Barbuda2013,0.781,"1,19,29,25,407",13287.0,Silent
Antigua and Barbuda,2014,female,15-24 years,0.0,8537,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Millenials
Antigua and Barbuda,2014,female,25-34 years,0.0,7578,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Millenials
Antigua and Barbuda,2014,female,35-54 years,0.0,15273,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Generation X
Antigua and Barbuda,2014,female,5-14 years,0.0,8296,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Generation Z
Antigua and Barbuda,2014,female,55-74 years,0.0,6085,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Boomers
Antigua and Barbuda,2014,female,75+ years,0.0,1686,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Silent
Antigua and Barbuda,2014,male,15-24 years,0.0,8208,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Millenials
Antigua and Barbuda,2014,male,25-34 years,0.0,6928,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Millenials
Antigua and Barbuda,2014,male,35-54 years,0.0,13325,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Generation X
Antigua and Barbuda,2014,male,5-14 years,0.0,8335,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Generation Z
Antigua and Barbuda,2014,male,55-74 years,0.0,5503,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Boomers
Antigua and Barbuda,2014,male,75+ years,0.0,1083,0.0,Antigua and Barbuda2014,0.783,"1,28,01,33,333",14093.0,Silent
Argentina,1985,male,75+ years,202.0,363000,55.65,Argentina1985,0.694,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,55-74 years,485.0,1997000,24.29,Argentina1985,0.694,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,35-54 years,414.0,3346300,12.37,Argentina1985,0.694,"88,41,66,68,900",3264.0,Silent
Argentina,1985,female,55-74 years,210.0,2304000,9.11,Argentina1985,0.694,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,25-34 years,177.0,2234200,7.92,Argentina1985,0.694,"88,41,66,68,900",3264.0,Boomers
Argentina,1985,female,75+ years,41.0,537000,7.64,Argentina1985,0.694,"88,41,66,68,900",3264.0,G.I. Generation
Argentina,1985,male,15-24 years,156.0,2415200,6.46,Argentina1985,0.694,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,female,35-54 years,142.0,3355300,4.23,Argentina1985,0.694,"88,41,66,68,900",3264.0,Silent
Argentina,1985,female,25-34 years,65.0,2185200,2.97,Argentina1985,0.694,"88,41,66,68,900",3264.0,Boomers
Argentina,1985,female,15-24 years,69.0,2354200,2.93,Argentina1985,0.694,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,male,5-14 years,16.0,3044200,0.53,Argentina1985,0.694,"88,41,66,68,900",3264.0,Generation X
Argentina,1985,female,5-14 years,11.0,2955200,0.37,Argentina1985,0.694,"88,41,66,68,900",3264.0,Generation X
Argentina,1990,male,75+ years,226.0,411100,54.97,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,55-74 years,502.0,2128000,23.59,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,35-54 years,439.0,3619000,12.13,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Silent
Argentina,1990,female,75+ years,61.0,643000,9.49,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,25-34 years,182.0,2297000,7.92,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Boomers
Argentina,1990,female,55-74 years,190.0,2477000,7.67,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,G.I. Generation
Argentina,1990,male,15-24 years,174.0,2635000,6.6,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,35-54 years,163.0,3622000,4.5,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Silent
Argentina,1990,female,15-24 years,91.0,2568000,3.54,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,25-34 years,76.0,2251000,3.38,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Boomers
Argentina,1990,male,5-14 years,22.0,3269000,0.67,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1990,female,5-14 years,14.0,3171000,0.44,Argentina1990,0.705,"1,41,35,23,68,715",4859.0,Generation X
Argentina,1995,male,75+ years,190.0,433800,43.8,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,G.I. Generation
Argentina,1995,male,55-74 years,515.0,2214000,23.26,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Silent
Argentina,1995,male,35-54 years,485.0,3787800,12.8,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Boomers
Argentina,1995,male,25-34 years,218.0,2404900,9.06,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,male,15-24 years,277.0,3112100,8.9,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,75+ years,49.0,742200,6.6,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,G.I. Generation
Argentina,1995,female,55-74 years,134.0,2625900,5.1,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Silent
Argentina,1995,female,35-54 years,139.0,3950100,3.52,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Boomers
Argentina,1995,female,15-24 years,101.0,3053300,3.31,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,25-34 years,62.0,2396900,2.59,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Generation X
Argentina,1995,female,5-14 years,19.0,3261100,0.58,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Millenials
Argentina,1995,male,5-14 years,15.0,3363300,0.45,Argentina1995,0.731,"2,58,03,17,50,000",8232.0,Millenials
Argentina,2000,male,75+ years,232.0,525161,44.18,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,G.I. Generation
Argentina,2000,male,55-74 years,602.0,2333377,25.8,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Silent
Argentina,2000,male,35-54 years,578.0,4096814,14.11,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Boomers
Argentina,2000,male,15-24 years,463.0,3306109,14.0,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,male,25-34 years,331.0,2602314,12.72,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,55-74 years,133.0,2760512,4.82,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Silent
Argentina,2000,female,75+ years,43.0,941957,4.56,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,G.I. Generation
Argentina,2000,female,35-54 years,174.0,4253771,4.09,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Boomers
Argentina,2000,female,15-24 years,116.0,3249247,3.57,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,25-34 years,63.0,2617723,2.41,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Generation X
Argentina,2000,female,5-14 years,21.0,3396135,0.62,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Millenials
Argentina,2000,male,5-14 years,18.0,3502413,0.51,Argentina2000,0.762,"2,84,20,37,50,000",8462.0,Millenials
Argentina,2005,male,75+ years,225.0,601176,37.43,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,male,55-74 years,489.0,2505136,19.52,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,male,15-24 years,638.0,3343414,19.08,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,male,25-34 years,451.0,3004991,15.01,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Generation X
Argentina,2005,male,35-54 years,539.0,4336453,12.43,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Boomers
Argentina,2005,female,55-74 years,161.0,2943135,5.47,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,female,75+ years,59.0,1101024,5.36,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Silent
Argentina,2005,female,15-24 years,148.0,3260468,4.54,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,female,35-54 years,171.0,4500787,3.8,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Boomers
Argentina,2005,female,25-34 years,104.0,3011376,3.45,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Generation X
Argentina,2005,male,5-14 years,52.0,3528848,1.47,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2005,female,5-14 years,21.0,3413809,0.62,Argentina2005,0.775,"1,98,73,70,95,012",5590.0,Millenials
Argentina,2010,male,75+ years,206.0,657096,31.35,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Silent
Argentina,2010,male,15-24 years,683.0,3455127,19.77,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Millenials
Argentina,2010,male,25-34 years,485.0,3237957,14.98,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation X
Argentina,2010,male,55-74 years,397.0,2740656,14.49,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Silent
Argentina,2010,male,35-54 years,573.0,4648068,12.33,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation X
Argentina,2010,female,15-24 years,150.0,3358103,4.47,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Millenials
Argentina,2010,female,35-54 years,162.0,4804030,3.37,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation X
Argentina,2010,female,25-34 years,101.0,3210247,3.15,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation X
Argentina,2010,female,55-74 years,99.0,3212253,3.08,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Silent
Argentina,2010,female,75+ years,34.0,1234182,2.75,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Silent
Argentina,2010,male,5-14 years,33.0,3570316,0.92,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation Z
Argentina,2010,female,5-14 years,20.0,3450419,0.58,Argentina2010,0.811,"4,23,62,74,22,092",11273.0,Generation Z
Argentina,2011,male,75+ years,178.0,674738,26.38,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Silent
Argentina,2011,male,15-24 years,693.0,3471151,19.96,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Millenials
Argentina,2011,male,25-34 years,510.0,3258804,15.65,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Millenials
Argentina,2011,male,55-74 years,416.0,2788575,14.92,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Boomers
Argentina,2011,male,35-54 years,504.0,4738525,10.64,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Generation X
Argentina,2011,female,15-24 years,172.0,3372659,5.1,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Millenials
Argentina,2011,female,35-54 years,157.0,4893085,3.21,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Generation X
Argentina,2011,female,25-34 years,102.0,3224774,3.16,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Millenials
Argentina,2011,female,55-74 years,93.0,3268753,2.85,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Boomers
Argentina,2011,female,75+ years,30.0,1260121,2.38,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Silent
Argentina,2011,female,5-14 years,29.0,3472180,0.84,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Generation Z
Argentina,2011,male,5-14 years,28.0,3592374,0.78,Argentina2011,0.818,"5,30,16,32,81,575",13946.0,Generation Z
Argentina,2012,male,75+ years,225.0,688560,32.68,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Silent
Argentina,2012,male,15-24 years,745.0,3480902,21.4,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Millenials
Argentina,2012,male,25-34 years,616.0,3268154,18.85,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Millenials
Argentina,2012,male,55-74 years,451.0,2839783,15.88,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Boomers
Argentina,2012,male,35-54 years,554.0,4841057,11.44,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Generation X
Argentina,2012,female,15-24 years,204.0,3380770,6.03,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Millenials
Argentina,2012,female,35-54 years,164.0,4993138,3.28,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Generation X
Argentina,2012,female,55-74 years,108.0,3328463,3.24,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Boomers
Argentina,2012,female,25-34 years,102.0,3228400,3.16,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Millenials
Argentina,2012,female,75+ years,33.0,1282726,2.57,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Silent
Argentina,2012,male,5-14 years,29.0,3615254,0.8,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Generation Z
Argentina,2012,female,5-14 years,17.0,3494571,0.49,Argentina2012,0.831,"5,45,98,23,75,701",14203.0,Generation Z
Argentina,2013,male,75+ years,168.0,699046,24.03,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Silent
Argentina,2013,male,15-24 years,696.0,3486661,19.96,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Millenials
Argentina,2013,male,25-34 years,499.0,3271373,15.25,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Millenials
Argentina,2013,male,55-74 years,398.0,2894129,13.75,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Boomers
Argentina,2013,male,35-54 years,604.0,4950850,12.2,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Generation X
Argentina,2013,female,15-24 years,167.0,3384642,4.93,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Millenials
Argentina,2013,female,25-34 years,102.0,3226464,3.16,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Millenials
Argentina,2013,female,35-54 years,157.0,5099167,3.08,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Generation X
Argentina,2013,female,55-74 years,102.0,3390673,3.01,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Boomers
Argentina,2013,female,75+ years,29.0,1303352,2.23,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Silent
Argentina,2013,female,5-14 years,32.0,3515742,0.91,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Generation Z
Argentina,2013,male,5-14 years,33.0,3637026,0.91,Argentina2013,0.833,"5,52,02,51,40,252",14206.0,Generation Z
Argentina,2014,male,75+ years,192.0,706897,27.16,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Silent
Argentina,2014,male,15-24 years,738.0,3492454,21.13,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Millenials
Argentina,2014,male,25-34 years,531.0,3276955,16.2,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Millenials
Argentina,2014,male,55-74 years,405.0,2951616,13.72,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Boomers
Argentina,2014,male,35-54 years,644.0,5060862,12.73,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Generation X
Argentina,2014,female,15-24 years,204.0,3388324,6.02,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Millenials
Argentina,2014,female,35-54 years,196.0,5203634,3.77,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Generation X
Argentina,2014,female,25-34 years,118.0,3227239,3.66,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Millenials
Argentina,2014,female,55-74 years,109.0,3454994,3.15,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Boomers
Argentina,2014,female,75+ years,25.0,1323654,1.89,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Silent
Argentina,2014,female,5-14 years,35.0,3533961,0.99,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Generation Z
Argentina,2014,male,5-14 years,34.0,3655965,0.93,Argentina2014,0.836,"5,26,31,96,73,732",13400.0,Generation Z
Armenia,1990,male,35-54 years,25.0,332700,7.51,Armenia1990,0.632,"2,25,68,38,858",756.0,Silent
Armenia,1990,male,75+ years,2.0,26900,7.43,Armenia1990,0.632,"2,25,68,38,858",756.0,G.I. Generation
Armenia,1990,male,55-74 years,11.0,183800,5.98,Armenia1990,0.632,"2,25,68,38,858",756.0,G.I. Generation
Armenia,1990,male,25-34 years,16.0,307100,5.21,Armenia1990,0.632,"2,25,68,38,858",756.0,Boomers
Armenia,1990,female,35-54 years,15.0,358000,4.19,Armenia1990,0.632,"2,25,68,38,858",756.0,Silent
Armenia,1990,male,15-24 years,10.0,272500,3.67,Armenia1990,0.632,"2,25,68,38,858",756.0,Generation X
Armenia,1990,female,55-74 years,6.0,224100,2.68,Armenia1990,0.632,"2,25,68,38,858",756.0,G.I. Generation
Armenia,1990,female,75+ years,1.0,48900,2.04,Armenia1990,0.632,"2,25,68,38,858",756.0,G.I. Generation
Armenia,1990,female,25-34 years,4.0,320700,1.25,Armenia1990,0.632,"2,25,68,38,858",756.0,Boomers
Armenia,1990,female,15-24 years,3.0,258500,1.16,Armenia1990,0.632,"2,25,68,38,858",756.0,Generation X
Armenia,1990,female,5-14 years,0.0,316900,0.0,Armenia1990,0.632,"2,25,68,38,858",756.0,Generation X
Armenia,1990,male,5-14 years,0.0,333600,0.0,Armenia1990,0.632,"2,25,68,38,858",756.0,Generation X
Armenia,1995,male,55-74 years,29.0,242300,11.97,Armenia1995,0.605,"1,46,83,17,350",426.0,Silent
Armenia,1995,male,35-54 years,32.0,395200,8.1,Armenia1995,0.605,"1,46,83,17,350",426.0,Boomers
Armenia,1995,male,25-34 years,21.0,289500,7.25,Armenia1995,0.605,"1,46,83,17,350",426.0,Generation X
Armenia,1995,male,75+ years,2.0,28000,7.14,Armenia1995,0.605,"1,46,83,17,350",426.0,G.I. Generation
Armenia,1995,female,75+ years,2.0,51400,3.89,Armenia1995,0.605,"1,46,83,17,350",426.0,G.I. Generation
Armenia,1995,female,55-74 years,11.0,295200,3.73,Armenia1995,0.605,"1,46,83,17,350",426.0,Silent
Armenia,1995,female,25-34 years,11.0,313300,3.51,Armenia1995,0.605,"1,46,83,17,350",426.0,Generation X
Armenia,1995,male,15-24 years,10.0,313600,3.19,Armenia1995,0.605,"1,46,83,17,350",426.0,Generation X
